patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US107091A,1870-09-06,And marking ,"['And', 'marking']","[('And', 'CC'), ('marking', 'VBG')]",0,"['CCONJ', 'VERB']",[],0,0,2,0,1
US107169A,1870-09-06,And screening ores and fer ,"['And', 'screening', 'ores', 'and', 'fer']","[('And', 'CC'), ('screening', 'VBG'), ('ores', 'NNS'), ('and', 'CC'), ('fer', 'NN')]",0,"['CCONJ', 'VERB', 'NOUN', 'CCONJ', 'VERB']",[],0,0,5,0,1
US107823A,1870-09-27,In gftaln-binders ,"['In', 'gftaln-binders']","[('In', 'IN'), ('gftaln-binders', 'NNS')]",0,"['ADP', 'ADJ', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US107933A,1870-10-04,In grain-binders ,"['In', 'grain-binders']","[('In', 'IN'), ('grain-binders', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US108245A,1870-10-11,To him ,"['To', 'him']","[('To', 'TO'), ('him', 'PRP')]",0,"['ADP', 'PRON']",[],0,0,2,0,1
US109341A,1870-11-15,And dyeing ,"['And', 'dyeing']","[('And', 'CC'), ('dyeing', 'VBG')]",0,"['CCONJ', 'VERB']",[],0,0,2,0,1
US112282A,1871-02-28,In sad and fluting irons ,"['In', 'sad', 'and', 'fluting', 'irons']","[('In', 'IN'), ('sad', 'JJ'), ('and', 'CC'), ('fluting', 'JJ'), ('irons', 'NNS')]",0,"['ADP', 'ADJ', 'CCONJ', 'VERB', 'NOUN']",[],0,0,5,0,1
US112531A,1871-03-14,In feeding mechanisms for sewing-machines ,"['In', 'feeding', 'mechanisms', 'for', 'sewing-machines']","[('In', 'IN'), ('feeding', 'VBG'), ('mechanisms', 'NNS'), ('for', 'IN'), ('sewing-machines', 'NNS')]",0,"['ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,7,0,1
US113488A,1871-04-11,The eckert lithographing co ,"['The', 'eckert', 'lithographing', 'co']","[('The', 'DT'), ('eckert', 'NN'), ('lithographing', 'VBG'), ('co', 'NN')]",0,"['DET', 'NOUN', 'VERB', 'NOUN']",[],0,0,4,0,1
US113712A,1871-04-11,And ltman p ,"['And', 'ltman', 'p']","[('And', 'CC'), ('ltman', 'NN'), ('p', 'NN')]",0,"['CCONJ', 'NOUN', 'NOUN']",[],0,0,3,0,1
US115228A,1871-05-23,of s p rin ,"['of', 's', 'p', 'rin']","[('of', 'IN'), ('s', 'JJ'), ('p', 'NN'), ('rin', 'NN')]",0,"['ADP', 'X', 'NOUN', 'NOUN']",[],0,0,4,0,1
US115312A,1871-05-30,In machines for creasing leather ,"['In', 'machines', 'for', 'creasing', 'leather']","[('In', 'IN'), ('machines', 'NNS'), ('for', 'IN'), ('creasing', 'VBG'), ('leather', 'NN')]",0,"['ADP', 'NOUN', 'ADP', 'VERB', 'NOUN']",[],0,0,5,0,1
US115430A,1871-05-30,In match-boxes ,"['In', 'match-boxes']","[('In', 'IN'), ('match-boxes', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US115461A,1871-05-30,In clothes-driers ,"['In', 'clothes-driers']","[('In', 'IN'), ('clothes-driers', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US115669A,1871-06-06,In wood-carvisssg rjachwes ,"['In', 'wood-carvisssg', 'rjachwes']","[('In', 'IN'), ('wood-carvisssg', 'JJ'), ('rjachwes', 'NN')]",0,"['ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN']",[],0,0,5,0,1
US117136A,1871-07-18,In processes ,"['In', 'processes']","[('In', 'IN'), ('processes', 'NNS')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US117835A,1871-08-08,In seed-planters ,"['In', 'seed-planters']","[('In', 'IN'), ('seed-planters', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US124165A,1872-02-27,And alfeed e ,"['And', 'alfeed', 'e']","[('And', 'CC'), ('alfeed', 'VB'), ('e', 'NN')]",0,"['CCONJ', 'NOUN', 'NOUN']",[],0,0,3,0,1
US127349A,1872-05-28,In tuck-markers for sewing ,"['In', 'tuck-markers', 'for', 'sewing']","[('In', 'IN'), ('tuck-markers', 'NNS'), ('for', 'IN'), ('sewing', 'VBG')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN']",[],0,0,6,0,1
US127894A,1872-06-11,In cab-couplings ,"['In', 'cab-couplings']","[('In', 'IN'), ('cab-couplings', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US129213A,1872-07-16,In alarm-locks ,"['In', 'alarm-locks']","[('In', 'IN'), ('alarm-locks', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US130691A,1872-08-20,In washing-machines ,"['In', 'washing-machines']","[('In', 'IN'), ('washing-machines', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US131702A,1872-09-24,In printing-presses ,"['In', 'printing-presses']","[('In', 'IN'), ('printing-presses', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US133554A,1872-12-03,Of same place ,"['Of', 'same', 'place']","[('Of', 'IN'), ('same', 'JJ'), ('place', 'NN')]",0,"['ADP', 'ADJ', 'NOUN']",[],0,0,3,0,1
US133824A,1872-12-10,Half his eight to joffit p ,"['Half', 'his', 'eight', 'to', 'joffit', 'p']","[('Half', 'PDT'), ('his', 'PRP$'), ('eight', 'CD'), ('to', 'TO'), ('joffit', 'VB'), ('p', 'NN')]",0,"['DET', 'PRON', 'NUM', 'PART', 'VERB', 'NOUN']","['CARDINAL', 'CARDINAL']",0,0,6,0,1
US134053A,1872-12-17,In electro-magnetic annunciators for hotels ,"['In', 'electro-magnetic', 'annunciators', 'for', 'hotels']","[('In', 'IN'), ('electro-magnetic', 'JJ'), ('annunciators', 'NNS'), ('for', 'IN'), ('hotels', 'NNS')]",0,"['ADP', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'ADP', 'NOUN']",[],0,0,7,0,1
US134503A,1872-12-31,In car-couplsmgs ,"['In', 'car-couplsmgs']","[('In', 'IN'), ('car-couplsmgs', 'NN')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US134669A,1873-01-07,And coenell j ,"['And', 'coenell', 'j']","[('And', 'CC'), ('coenell', 'VB'), ('j', 'NN')]",0,"['CCONJ', 'VERB', 'NOUN']",[],0,0,3,0,1
US134780A,1873-01-14,In mechanisms for operating sewing-machines ,"['In', 'mechanisms', 'for', 'operating', 'sewing-machines']","[('In', 'IN'), ('mechanisms', 'NNS'), ('for', 'IN'), ('operating', 'VBG'), ('sewing-machines', 'NNS')]",0,"['ADP', 'NOUN', 'ADP', 'VERB', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,7,0,1
US134801A,1873-01-14,In railway-car axle-boxes ,"['In', 'railway-car', 'axle-boxes']","[('In', 'IN'), ('railway-car', 'JJ'), ('axle-boxes', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,7,0,1
US142503A,1873-09-02,In fruit-cans ,"['In', 'fruit-cans']","[('In', 'IN'), ('fruit-cans', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US143068A,1873-09-23,In tap-holder attachments for beer-coolers ,"['In', 'tap-holder', 'attachments', 'for', 'beer-coolers']","[('In', 'IN'), ('tap-holder', 'JJ'), ('attachments', 'NNS'), ('for', 'IN'), ('beer-coolers', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,9,0,1
US143547A,1873-10-07,Of same place ,"['Of', 'same', 'place']","[('Of', 'IN'), ('same', 'JJ'), ('place', 'NN')]",0,"['ADP', 'ADJ', 'NOUN']",[],0,0,3,0,1
US144416A,1873-11-11,And geoege h ,"['And', 'geoege', 'h']","[('And', 'CC'), ('geoege', 'NN'), ('h', 'NN')]",0,"['CCONJ', 'VERB', 'NOUN']",[],0,0,3,0,1
US145403A,1873-12-09,In explosive compounds ,"['In', 'explosive', 'compounds']","[('In', 'IN'), ('explosive', 'JJ'), ('compounds', 'NNS')]",0,"['ADP', 'ADJ', 'NOUN']",[],0,0,3,0,1
US148102A,1874-03-03,And geoegb hobnung ,"['And', 'geoegb', 'hobnung']","[('And', 'CC'), ('geoegb', 'NN'), ('hobnung', 'NN')]",0,"['CCONJ', 'NOUN', 'NOUN']",[],0,0,3,0,1
US148997A,1874-03-24,In cottom-cleaners ,"['In', 'cottom-cleaners']","[('In', 'IN'), ('cottom-cleaners', 'NNS')]",0,"['ADP', 'ADJ', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US150065A,1874-04-21,In brick-machines ,"['In', 'brick-machines']","[('In', 'IN'), ('brick-machines', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US150160A,1874-04-28,Half his eight to o ,"['Half', 'his', 'eight', 'to', 'o']","[('Half', 'PDT'), ('his', 'PRP$'), ('eight', 'CD'), ('to', 'TO'), ('o', 'VB')]",0,"['DET', 'PRON', 'NUM', 'PART', 'NOUN']","['CARDINAL', 'CARDINAL']",0,0,5,0,1
US150263A,1874-04-28,In coffee-pots ,"['In', 'coffee-pots']","[('In', 'IN'), ('coffee-pots', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US151135A,1874-05-19,In fruit-driers ,"['In', 'fruit-driers']","[('In', 'IN'), ('fruit-driers', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US151251A,1874-05-26,In car-axle boxes ,"['In', 'car-axle', 'boxes']","[('In', 'IN'), ('car-axle', 'JJ'), ('boxes', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,5,0,1
US151407A,1874-05-26,In saw-teeth ,"['In', 'saw-teeth']","[('In', 'IN'), ('saw-teeth', 'JJ')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US152851A,1874-07-07,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US154503A,1874-08-25,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US156623A,1874-11-03,In bee-hives ,"['In', 'bee-hives']","[('In', 'IN'), ('bee-hives', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US156864A,1874-11-17,In hydrants ,"['In', 'hydrants']","[('In', 'IN'), ('hydrants', 'NNS')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US158608A,1875-01-12,In the manufacture of leather ,"['In', 'the', 'manufacture', 'of', 'leather']","[('In', 'IN'), ('the', 'DT'), ('manufacture', 'NN'), ('of', 'IN'), ('leather', 'NN')]",0,"['ADP', 'DET', 'NOUN', 'ADP', 'NOUN']",[],0,0,5,0,1
US160726A,1875-03-09,In altcauix-efib ,"['In', 'altcauix-efib']","[('In', 'IN'), ('altcauix-efib', 'JJ')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US161307A,1875-03-23,Half his ,"['Half', 'his']","[('Half', 'PDT'), ('his', 'PRP$')]",0,"['DET', 'PRON']",['CARDINAL'],0,0,2,0,1
US161400A,1875-03-30,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US161731A,1875-04-06,In boiler washing-machines ,"['In', 'boiler', 'washing-machines']","[('In', 'IN'), ('boiler', 'NN'), ('washing-machines', 'NNS')]",0,"['ADP', 'NOUN', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,5,0,1
US162272A,1875-04-20,In door-latches ,"['In', 'door-latches']","[('In', 'IN'), ('door-latches', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US163176A,1875-05-11,In hand-cars ,"['In', 'hand-cars']","[('In', 'IN'), ('hand-cars', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US163181A,1875-05-11,Half his eight to fbank h ,"['Half', 'his', 'eight', 'to', 'fbank', 'h']","[('Half', 'PDT'), ('his', 'PRP$'), ('eight', 'CD'), ('to', 'TO'), ('fbank', 'VB'), ('h', 'NN')]",0,"['DET', 'PRON', 'NUM', 'PART', 'VERB', 'NOUN']","['CARDINAL', 'CARDINAL']",0,0,6,0,1
US165139A,1875-06-29,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US167778A,1875-09-14,In cartridge-loading devices ,"['In', 'cartridge-loading', 'devices']","[('In', 'IN'), ('cartridge-loading', 'JJ'), ('devices', 'NNS')]",0,"['ADP', 'ADJ', 'PUNCT', 'NOUN', 'NOUN']",[],0,0,5,0,1
US169669A,1875-11-09,a ashcrapt ,"['a', 'ashcrapt']","[('a', 'DT'), ('ashcrapt', 'NN')]",0,"['DET', 'NOUN']",[],0,0,2,0,1
US169848A,1875-11-09,In revolving fire-ar-ivjs ,"['In', 'revolving', 'fire-ar-ivjs']","[('In', 'IN'), ('revolving', 'VBG'), ('fire-ar-ivjs', 'NN')]",0,"['ADP', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,7,0,1
US170600A,1875-11-30,In blasting-cartridges ,"['In', 'blasting-cartridges']","[('In', 'IN'), ('blasting-cartridges', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US172423A,1876-01-18,In miners  candles ,"['In', 'miners', 'candles']","[('In', 'IN'), ('miners', 'NNS'), ('candles', 'NNS')]",0,"['ADP', 'NOUN', 'SPACE', 'NOUN']",[],0,0,4,0,1
US174513A,1876-03-07,And slicing ,"['And', 'slicing']","[('And', 'CC'), ('slicing', 'VBG')]",0,"['CCONJ', 'VERB']",[],0,0,2,0,1
US174953A,1876-03-21,In lamp-filling cabinets ,"['In', 'lamp-filling', 'cabinets']","[('In', 'IN'), ('lamp-filling', 'JJ'), ('cabinets', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN']",[],0,0,5,0,1
US175044A,1876-03-21,In machines for cutting resinous gums ,"['In', 'machines', 'for', 'cutting', 'resinous', 'gums']","[('In', 'IN'), ('machines', 'NNS'), ('for', 'IN'), ('cutting', 'VBG'), ('resinous', 'JJ'), ('gums', 'NNS')]",0,"['ADP', 'NOUN', 'ADP', 'VERB', 'ADJ', 'NOUN']",[],0,0,6,0,1
US175826A,1876-04-11,d dedreux ,"['d', 'dedreux']","[('d', 'NN'), ('dedreux', 'NN')]",0,"['DET', 'NOUN']",[],0,0,2,0,1
US176005A,1876-04-11,Of one-half ,"['Of', 'one-half']","[('Of', 'IN'), ('one-half', 'JJ')]",0,"['ADP', 'NUM', 'PUNCT', 'NOUN']",['CARDINAL'],0,0,4,0,1
US177048A,1876-05-02,And plimp ,"['And', 'plimp']","[('And', 'CC'), ('plimp', 'NN')]",0,"['CCONJ', 'VERB']",[],0,0,2,0,1
US178386A,1876-06-06,In screw-threaded rawhide shoe-pegs ,"['In', 'screw-threaded', 'rawhide', 'shoe-pegs']","[('In', 'IN'), ('screw-threaded', 'JJ'), ('rawhide', 'NN'), ('shoe-pegs', 'NN')]",0,"['ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,8,0,1
US178713A,1876-06-13,In straw-cutters ,"['In', 'straw-cutters']","[('In', 'IN'), ('straw-cutters', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US178811A,1876-06-13,In car-couplings ,"['In', 'car-couplings']","[('In', 'IN'), ('car-couplings', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US179170A,1876-06-27,In overalls ,"['In', 'overalls']","[('In', 'IN'), ('overalls', 'NNS')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US180484A,1876-08-01,The same ,"['The', 'same']","[('The', 'DT'), ('same', 'JJ')]",0,"['DET', 'ADJ']",[],0,0,2,0,1
US183453A,1876-10-17,In bed-bottoms ,"['In', 'bed-bottoms']","[('In', 'IN'), ('bed-bottoms', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US184043A,1876-11-07,In continuous fuse ,"['In', 'continuous', 'fuse']","[('In', 'IN'), ('continuous', 'JJ'), ('fuse', 'NN')]",0,"['ADP', 'ADJ', 'NOUN']",[],0,0,3,0,1
US184954A,1876-12-05,Half his eight to spaltlding ,"['Half', 'his', 'eight', 'to', 'spaltlding']","[('Half', 'PDT'), ('his', 'PRP$'), ('eight', 'CD'), ('to', 'TO'), ('spaltlding', 'VBG')]",0,"['DET', 'PRON', 'NUM', 'ADP', 'NOUN']","['CARDINAL', 'CARDINAL']",0,0,5,0,1
US185689A,1876-12-26,In face-plates for locks ,"['In', 'face-plates', 'for', 'locks']","[('In', 'IN'), ('face-plates', 'NNS'), ('for', 'IN'), ('locks', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN']",[],0,0,6,0,1
US186939A,1877-02-06,In hanging lasers ,"['In', 'hanging', 'lasers']","[('In', 'IN'), ('hanging', 'VBG'), ('lasers', 'NNS')]",0,"['ADP', 'VERB', 'NOUN']",[],0,0,3,0,1
US188398A,1877-03-13,In propellers for vessels ,"['In', 'propellers', 'for', 'vessels']","[('In', 'IN'), ('propellers', 'NNS'), ('for', 'IN'), ('vessels', 'NNS')]",0,"['ADP', 'NOUN', 'ADP', 'NOUN']",[],0,0,4,0,1
US189462A,1877-04-10,In vagon-beds ,"['In', 'vagon-beds']","[('In', 'IN'), ('vagon-beds', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US192395A,1877-06-26,Half his eight to a ,"['Half', 'his', 'eight', 'to', 'a']","[('Half', 'PDT'), ('his', 'PRP$'), ('eight', 'CD'), ('to', 'TO'), ('a', 'DT')]",0,"['DET', 'PRON', 'NUM', 'ADP', 'PRON']",['CARDINAL'],0,0,5,0,1
US192505A,1877-06-26,In grain-separators ,"['In', 'grain-separators']","[('In', 'IN'), ('grain-separators', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US194630A,1877-08-28,And quality of distilled liquids ,"['And', 'quality', 'of', 'distilled', 'liquids']","[('And', 'CC'), ('quality', 'NN'), ('of', 'IN'), ('distilled', 'JJ'), ('liquids', 'NNS')]",0,"['CCONJ', 'NOUN', 'ADP', 'VERB', 'NOUN']",[],0,0,5,0,1
US194890A,1877-09-04,And wallace ,"['And', 'wallace']","[('And', 'CC'), ('wallace', 'NN')]",0,"['CCONJ', 'NOUN']",[],0,0,2,0,1
US195447A,1877-09-25,Of eoobestee ,"['Of', 'eoobestee']","[('Of', 'IN'), ('eoobestee', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US196623A,1877-10-30,In scraping-tools ,"['In', 'scraping-tools']","[('In', 'IN'), ('scraping-tools', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US197202A,1877-11-20,of oabftoif ,"['of', 'oabftoif']","[('of', 'IN'), ('oabftoif', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US197340A,1877-11-20,Ijic ited ,"['Ijic', 'ited']","[('Ijic', 'NNP'), ('ited', 'VBD')]",1,"['ADP', 'VERB']",[],0,0,2,0,1
US197722A,1877-12-04,de fobest ,"['de', 'fobest']","[('de', 'IN'), ('fobest', 'JJS')]",0,"['ADP', 'ADJ']",[],0,0,2,0,1
US197827A,1877-12-04,In rail-joints ,"['In', 'rail-joints']","[('In', 'IN'), ('rail-joints', 'NNS')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
