patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts,misspelt_words,misspelt
US1600396A,1924-06-18,Method of reenforcing fiber board,"['Method', 'of', 'reenforcing', 'fiber', 'board']","[('Method', 'NNP'), ('of', 'IN'), ('reenforcing', 'VBG'), ('fiber', 'NNP'), ('board', 'NN')]","['PROPN', 'ADP', 'VERB', 'NOUN', 'PROPN', 'SPACE']",[],1,0,6,0,0,{'reenforcing'},1
US1600415A,1923-07-24,Apparatus for cleaning felts on paper making machines,"['Apparatus', 'for', 'cleaning', 'felts', 'on', 'paper-making', 'machines']","[('Apparatus', 'NNP'), ('for', 'IN'), ('cleaning', 'VBG'), ('felts', 'NNS'), ('on', 'IN'), ('paper-making', 'JJ'), ('machines', 'NNS')]","['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'SPACE']",[],1,0,10,0,0,{'felts'},1
US1600481A,1923-03-28,Valved hose nozzle,"['Valved', 'hose', 'nozzle']","[('Valved', 'VBN'), ('hose', 'JJ'), ('nozzle', 'NNS')]","['PROPN', 'PROPN', 'PROPN', 'SPACE']",[],1,0,4,0,0,{'valved'},1
US1600538A,1926-03-31,One piece pasteboard box,"['One-piece', 'pasteboard', 'box']","[('One-piece', 'NNP'), ('pasteboard', 'NN'), ('box', 'NN')]","['NUM', 'PUNCT', 'NOUN', 'PROPN', 'PROPN', 'SPACE']",['CARDINAL'],1,0,6,0,0,{'pasteboard'},1
US1600575A,1923-08-22,Moistureproof vision clarifying composition,"['Moistureproof', 'vision-clarifying', 'composition']","[('Moistureproof', 'NNP'), ('vision-clarifying', 'JJ'), ('composition', 'NN')]","['PROPN', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'SPACE']",['ORG'],1,0,6,0,0,{'moistureproof'},1
US1600622A,1924-03-25,"Match holder, ejector, and lighter","['Match', 'holder,', 'ejector,', 'and', 'lighter']","[('Match', 'NNP'), ('holder,', 'NN'), ('ejector,', 'NN'), ('and', 'CC'), ('lighter', 'NN')]","['PROPN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'SPACE']",[],1,0,8,0,0,"{'ejector,', 'holder,'}",1
US1600629A,1923-11-01,Underslung tire carrier for trucks,"['Underslung', 'tire', 'carrier', 'for', 'trucks']","[('Underslung', 'NNP'), ('tire', 'NN'), ('carrier', 'NN'), ('for', 'IN'), ('trucks', 'NNS')]","['PROPN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'SPACE']",['ORG'],1,0,6,0,0,{'underslung'},1
US1600670A,1921-09-27,Stock waterer,"['Stock', 'waterer']","[('Stock', 'NNP'), ('waterer', 'NN')]","['PROPN', 'PROPN', 'SPACE']",[],1,0,3,0,0,{'waterer'},1
US1600808A,1926-09-21,Lens and bjbflector pob adding machines,"['Lens', 'and', 'bjbflector', 'pob', 'adding', 'machines']","[('Lens', 'NNS'), ('and', 'CC'), ('bjbflector', 'NN'), ('pob', 'NN'), ('adding', 'VBG'), ('machines', 'NNS')]","['NOUN', 'CCONJ', 'PROPN', 'PROPN', 'VERB', 'NOUN']",[],1,0,6,0,0,"{'pob', 'bjbflector'}",1
US1600936A,1925-11-18,Multigraph attachment,"['Multigraph', 'attachment']","[('Multigraph', 'NNP'), ('attachment', 'NN')]","['PROPN', 'NOUN', 'SPACE']",['ORG'],1,0,3,0,0,{'multigraph'},1
US1600948A,1924-01-22,Apparatus for producing bituminous compositions with water,"['Apparatus', 'for', 'producing', 'bituminous', 'compositions', 'with', 'water']","[('Apparatus', 'NNP'), ('for', 'IN'), ('producing', 'VBG'), ('bituminous', 'JJ'), ('compositions', 'NNS'), ('with', 'IN'), ('water', 'NN')]","['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],1,0,8,0,0,{'bituminous'},1
US1601016A,1924-07-25,Method of making pressers for fliers,"['Method', 'of', 'making', 'pressers', 'for', 'fliers']","[('Method', 'NNP'), ('of', 'IN'), ('making', 'VBG'), ('pressers', 'NNS'), ('for', 'IN'), ('fliers', 'NNS')]","['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],1,0,7,0,0,{'pressers'},1
US1601109A,1922-03-31,Multifrequency resonant network,"['Multifrequency', 'resonant', 'network']","[('Multifrequency', 'NNP'), ('resonant', 'NN'), ('network', 'NN')]","['PROPN', 'PROPN', 'NOUN', 'SPACE']",[],1,0,4,0,0,{'multifrequency'},1
US1601110A,1926-05-04,Vehicle snubber,"['Vehicle', 'snubber']","[('Vehicle', 'NNP'), ('snubber', 'NN')]","['PROPN', 'PROPN', 'SPACE']",[],1,0,3,0,0,{'snubber'},1
US1601128A,1924-05-29,"Apparatus for simultaneously cutting, scoring, punching, and performing analogous operations","['Apparatus', 'for', 'simultaneously', 'cutting,', 'scoring,', 'punching,', 'and', 'performing', 'analogous', 'operations']","[('Apparatus', 'NNP'), ('for', 'IN'), ('simultaneously', 'RB'), ('cutting,', 'JJ'), ('scoring,', 'NN'), ('punching,', 'NN'), ('and', 'CC'), ('performing', 'VBG'), ('analogous', 'JJ'), ('operations', 'NNS')]","['PROPN', 'ADP', 'ADV', 'VERB', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'ADJ', 'NOUN', 'SPACE']",[],1,0,14,0,0,"{'punching,', 'scoring,', 'cutting,'}",1
US1601211A,1925-10-14,Compressor unloader,"['Compressor', 'unloader']","[('Compressor', 'NNP'), ('unloader', 'NN')]","['PROPN', 'ADP', 'SPACE']",[],1,0,3,0,0,{'unloader'},1
US1601213A,1925-11-02,Method of manufacturing benzol,"['Method', 'of', 'manufacturing', 'benzol']","[('Method', 'NNP'), ('of', 'IN'), ('manufacturing', 'VBG'), ('benzol', 'NN')]","['PROPN', 'ADP', 'NOUN', 'VERB', 'SPACE']",[],1,0,5,0,0,{'benzol'},1
US1601231A,1924-10-13,"Flux for enamel, glass, and ceramic materials","['Flux', 'for', 'enamel,', 'glass,', 'and', 'ceramic', 'materials']","[('Flux', 'NNP'), ('for', 'IN'), ('enamel,', 'NN'), ('glass,', 'NN'), ('and', 'CC'), ('ceramic', 'JJ'), ('materials', 'NNS')]","['PROPN', 'ADP', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'NOUN', 'SPACE']",[],1,0,10,0,0,"{'enamel,', 'glass,'}",1
US1601233A,1925-04-30,Process of making diammonium phosphate,"['Process', 'of', 'making', 'diammonium', 'phosphate']","[('Process', 'NN'), ('of', 'IN'), ('making', 'VBG'), ('diammonium', 'NN'), ('phosphate', 'NN')]","['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'SPACE']",[],1,0,6,0,0,{'diammonium'},1
US1601266A,1925-03-11,Cabinet for portable phonographs,"['Cabinet', 'for', 'portable', 'phonographs']","[('Cabinet', 'NNP'), ('for', 'IN'), ('portable', 'JJ'), ('phonographs', 'NN')]","['NOUN', 'ADP', 'ADJ', 'PROPN', 'SPACE']",[],1,0,5,0,0,{'phonographs'},1
US1601278A,1923-04-21,Foundryman's boot or shoe,"[""Foundryman's"", 'boot', 'or', 'shoe']","[(""Foundryman's"", 'NNP'), ('boot', 'NN'), ('or', 'CC'), ('shoe', 'NN')]","['PROPN', 'PART', 'NOUN', 'CCONJ', 'NOUN', 'SPACE']",['ORG'],1,0,6,0,0,"{""foundryman's""}",1
US1601319A,1924-08-23,Process of making benzanthrone and its derivatives,"['Process', 'of', 'making', 'benzanthrone', 'and', 'its', 'derivatives']","[('Process', 'NN'), ('of', 'IN'), ('making', 'VBG'), ('benzanthrone', 'NN'), ('and', 'CC'), ('its', 'PRP$'), ('derivatives', 'NNS')]","['PROPN', 'ADP', 'VERB', 'NOUN', 'CCONJ', 'PRON', 'NOUN', 'SPACE']",[],1,0,8,0,0,{'benzanthrone'},1
US1601320A,1923-04-28,Rectifier control apparatus,"['Rectifier-control', 'apparatus']","[('Rectifier-control', 'JJ'), ('apparatus', 'NN')]","['PROPN', 'PUNCT', 'PROPN', 'NOUN', 'SPACE']",['NORP'],1,0,5,0,0,{'rectifier'},1
US1601322A,1920-07-30,Duplex radiotelephony,"['Duplex', 'radiotelephony']","[('Duplex', 'NNP'), ('radiotelephony', 'NN')]","['PROPN', 'VERB', 'SPACE']",[],1,0,3,0,0,{'radiotelephony'},1
US1601394A,1925-11-14,Ophthalmic instrument for and method of applying the hirsch eye test,"['Ophthalmic', 'instrument', 'for', 'and', 'method', 'of', 'applying', 'the', 'hirsch', 'eye', 'test']","[('Ophthalmic', 'NNP'), ('instrument', 'NN'), ('for', 'IN'), ('and', 'CC'), ('method', 'NN'), ('of', 'IN'), ('applying', 'VBG'), ('the', 'DT'), ('hirsch', 'NN'), ('eye', 'NN'), ('test', 'NN')]","['ADJ', 'NOUN', 'ADP', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'DET', 'PROPN', 'PROPN', 'NOUN', 'SPACE']",[],1,0,12,0,0,{'hirsch'},1
US1601425A,1926-05-01,Portable electrical transmitter unit for phonographs,"['Portable', 'electrical', 'transmitter', 'unit', 'for', 'phonographs']","[('Portable', 'JJ'), ('electrical', 'JJ'), ('transmitter', 'NN'), ('unit', 'NN'), ('for', 'IN'), ('phonographs', 'NN')]","['ADJ', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'SPACE']",[],1,0,7,0,0,{'phonographs'},1
US1601453A,1922-10-28,Compound venturi carburetor,"['Compound', 'venturi', 'carburetor']","[('Compound', 'NNP'), ('venturi', 'NN'), ('carburetor', 'NN')]","['PROPN', 'PROPN', 'NOUN', 'SPACE']",[],1,0,4,0,0,{'venturi'},1
US1601475A,1924-06-17,Dry cell and depolarizer therefor,"['Dry', 'cell', 'and', 'depolarizer', 'therefor']","[('Dry', 'NNP'), ('cell', 'NN'), ('and', 'CC'), ('depolarizer', 'NN'), ('therefor', 'NNS')]","['PROPN', 'NOUN', 'CCONJ', 'NOUN', 'PROPN', 'SPACE']",[],1,0,6,0,0,{'depolarizer'},1
US1601487A,1924-04-10,Drain board for wringers,"['Drain', 'board', 'for', 'wringers']","[('Drain', 'NNP'), ('board', 'NN'), ('for', 'IN'), ('wringers', 'NNS')]","['PROPN', 'NOUN', 'ADP', 'NOUN', 'SPACE']",[],1,0,5,0,0,{'wringers'},1
US1601509A,1925-10-01,Method of purifying aromatic alcohols and derivatives,"['Method', 'of', 'purifying', 'aromatic', 'alcohols', 'and', 'derivatives']","[('Method', 'NNP'), ('of', 'IN'), ('purifying', 'VBG'), ('aromatic', 'JJ'), ('alcohols', 'NNS'), ('and', 'CC'), ('derivatives', 'NNS')]","['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'SPACE']",[],1,0,8,0,0,{'alcohols'},1
US1601516A,1925-11-13,Brake reliner,"['Brake', 'reliner']","[('Brake', 'NNP'), ('reliner', 'NN')]","['PROPN', 'NOUN', 'SPACE']",[],1,0,3,0,0,{'reliner'},1
US1601537A,1926-09-28,Auxiliary digger eou boom type excavators,"['Auxiliary', 'digger', 'eou', 'boom-type', 'excavators']","[('Auxiliary', 'JJ'), ('digger', 'NN'), ('eou', 'VBD'), ('boom-type', 'JJ'), ('excavators', 'NNS')]","['ADJ', 'NOUN', 'PROPN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN']",[],1,0,7,0,0,{'eou'},1
US1601618A,1924-04-07,Bottle cover and decapper,"['Bottle', 'cover', 'and', 'decapper']","[('Bottle', 'NNP'), ('cover', 'NN'), ('and', 'CC'), ('decapper', 'NN')]","['NOUN', 'NOUN', 'CCONJ', 'PROPN', 'SPACE']",[],1,0,5,0,0,{'decapper'},1
US1601642A,1925-05-23,Apparatus for the electrodeposition of metals on wire or narrow strip,"['Apparatus', 'for', 'the', 'electrodeposition', 'of', 'metals', 'on', 'wire', 'or', 'narrow', 'strip']","[('Apparatus', 'NNP'), ('for', 'IN'), ('the', 'DT'), ('electrodeposition', 'NN'), ('of', 'IN'), ('metals', 'NNS'), ('on', 'IN'), ('wire', 'NN'), ('or', 'CC'), ('narrow', 'JJ'), ('strip', 'NN')]","['PROPN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'SPACE']",[],1,0,12,0,0,{'electrodeposition'},1
US1601695A,1926-01-27,Spoke tenoning machine,"['Spoke-tenoning', 'machine']","[('Spoke-tenoning', 'JJ'), ('machine', 'NN')]","['PROPN', 'PUNCT', 'VERB', 'NOUN', 'SPACE']",[],1,0,5,0,0,{'tenoning'},1
US1601740A,1925-06-12,Pressman's implement,"[""Pressman's"", 'implement']","[(""Pressman's"", 'NNP'), ('implement', 'NN')]","['PROPN', 'PART', 'NOUN', 'SPACE']",['ORG'],1,0,4,0,0,"{""pressman's""}",1
US1601753A,1926-10-05,Theqdor hellt h aler,"['Theqdor', 'hellt-h', 'aler']","[('Theqdor', 'NNP'), ('hellt-h', 'JJ'), ('aler', 'NN')]","['PROPN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN']",['ORG'],1,0,5,0,0,"{'h', 'aler', 'theqdor', 'hellt'}",1
US1601759A,1924-10-21,Mandrel for tire tubes,"['Mandrel', 'for', 'tire', 'tubes']","[('Mandrel', 'NNP'), ('for', 'IN'), ('tire', 'NN'), ('tubes', 'NNS')]","['PROPN', 'ADP', 'NOUN', 'NOUN', 'SPACE']",[],1,0,5,0,0,{'mandrel'},1
US1601777A,1926-10-05,Method and apparatus eos,"['Method', 'and', 'apparatus', 'eos']","[('Method', 'NNP'), ('and', 'CC'), ('apparatus', 'NN'), ('eos', 'NN')]","['PROPN', 'CCONJ', 'NOUN', 'NOUN']",['ORG'],1,0,4,0,0,{'eos'},1
US1601851A,1922-05-10,Platen actuating mechanism for brick machines and the like,"['Platen-actuating', 'mechanism', 'for', 'brick', 'machines', 'and', 'the', 'like']","[('Platen-actuating', 'JJ'), ('mechanism', 'NN'), ('for', 'IN'), ('brick', 'NN'), ('machines', 'NNS'), ('and', 'CC'), ('the', 'DT'), ('like', 'JJ')]","['PROPN', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'CCONJ', 'DET', 'INTJ', 'SPACE']",[],1,0,11,0,0,"{'actuating', 'platen'}",1
US1601891A,1921-09-19,Processes and apparatus for producing acetic acid from acetaldehyde,"['Processes', 'and', 'apparatus', 'for', 'producing', 'acetic', 'acid', 'from', 'acetaldehyde']","[('Processes', 'NNS'), ('and', 'CC'), ('apparatus', 'NN'), ('for', 'IN'), ('producing', 'VBG'), ('acetic', 'JJ'), ('acid', 'NN'), ('from', 'IN'), ('acetaldehyde', 'NN')]","['NOUN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'SPACE']",[],1,0,10,0,0,{'acetaldehyde'},1
US1601900A,1924-05-05,Nonskid brake,"['Nonskid', 'brake']","[('Nonskid', 'NNP'), ('brake', 'NN')]","['PROPN', 'NOUN', 'SPACE']",[],1,0,3,0,0,{'nonskid'},1
US1601955A,1924-02-06,Method and apparatus for vulcanizing tires,"['Method', 'and', 'apparatus', 'for', 'vulcanizing', 'tires']","[('Method', 'NNP'), ('and', 'CC'), ('apparatus', 'NN'), ('for', 'IN'), ('vulcanizing', 'VBG'), ('tires', 'NNS')]","['PROPN', 'CCONJ', 'NOUN', 'ADP', 'VERB', 'NOUN', 'SPACE']",[],1,0,7,0,0,{'vulcanizing'},1
US1602041A,1925-04-17,Holddown device for resawing machines,"['Holddown', 'device', 'for', 'resawing', 'machines']","[('Holddown', 'NNP'), ('device', 'NN'), ('for', 'IN'), ('resawing', 'VBG'), ('machines', 'NNS')]","['PROPN', 'NOUN', 'ADP', 'VERB', 'NOUN', 'SPACE']",[],1,0,6,0,0,"{'resawing', 'holddown'}",1
US1602105A,1925-11-23,Method of producing solids from bituminous emulsions,"['Method', 'of', 'producing', 'solids', 'from', 'bituminous', 'emulsions']","[('Method', 'NNP'), ('of', 'IN'), ('producing', 'VBG'), ('solids', 'NNS'), ('from', 'IN'), ('bituminous', 'JJ'), ('emulsions', 'NNS')]","['PROPN', 'ADP', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'SPACE']",[],1,0,8,0,0,"{'emulsions', 'bituminous'}",1
US1602128A,1926-10-05,Apparatus for  the destructive distillation oe solid bituminous,"['Apparatus', 'for', 'the', 'destructive', 'distillation', 'oe', 'solid', 'bituminous']","[('Apparatus', 'NNP'), ('for', 'IN'), ('the', 'DT'), ('destructive', 'JJ'), ('distillation', 'NN'), ('oe', 'NN'), ('solid', 'VBD'), ('bituminous', 'JJ')]","['PROPN', 'ADP', 'SPACE', 'DET', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'ADJ']",[],1,0,9,0,0,{'bituminous'},1
US1602154A,1923-12-12,Apparatus for insuring intimate admixture of pulverulent or granular matter and a liquid product,"['Apparatus', 'for', 'insuring', 'intimate', 'admixture', 'of', 'pulverulent', 'or', 'granular', 'matter', 'and', 'a', 'liquid', 'product']","[('Apparatus', 'NNP'), ('for', 'IN'), ('insuring', 'VBG'), ('intimate', 'JJ'), ('admixture', 'NN'), ('of', 'IN'), ('pulverulent', 'NN'), ('or', 'CC'), ('granular', 'JJ'), ('matter', 'NN'), ('and', 'CC'), ('a', 'DT'), ('liquid', 'JJ'), ('product', 'NN')]","['PROPN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'SPACE']",[],1,0,15,0,0,{'pulverulent'},1
US1602190A,1926-01-04,Method of dehydrating petroleum emulsions,"['Method', 'of', 'dehydrating', 'petroleum', 'emulsions']","[('Method', 'NNP'), ('of', 'IN'), ('dehydrating', 'VBG'), ('petroleum', 'NN'), ('emulsions', 'NNS')]","['PROPN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'SPACE']",[],1,0,6,0,0,{'emulsions'},1
US1602207A,1926-04-12,"Range splashboard, top shelf, and bracket therefor","['Range', 'splashboard,', 'top', 'shelf,', 'and', 'bracket', 'therefor']","[('Range', 'NNP'), ('splashboard,', 'VBD'), ('top', 'JJ'), ('shelf,', 'NN'), ('and', 'CC'), ('bracket', 'NN'), ('therefor', 'NN')]","['PROPN', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'NOUN', 'SPACE']",[],1,0,10,0,0,"{'splashboard,', 'shelf,'}",1
US1602242A,1926-10-05,Assig nobs,['Assig-nobs'],"[('Assig-nobs', 'NN')]","['PROPN', 'PUNCT', 'NOUN']",[],1,0,3,0,0,{'assig'},1
US1602257A,1923-09-22,Method of and means for the winding of cinematograph films and the like,"['Method', 'of', 'and', 'means', 'for', 'the', 'winding', 'of', 'cinematograph', 'films', 'and', 'the', 'like']","[('Method', 'NNP'), ('of', 'IN'), ('and', 'CC'), ('means', 'NNS'), ('for', 'IN'), ('the', 'DT'), ('winding', 'NN'), ('of', 'IN'), ('cinematograph', 'NN'), ('films', 'NNS'), ('and', 'CC'), ('the', 'DT'), ('like', 'JJ')]","['PROPN', 'ADP', 'CCONJ', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'CCONJ', 'DET', 'INTJ', 'SPACE']",[],1,0,14,0,0,{'cinematograph'},1
US1602308A,1924-08-01,"Process of spinning, drawing, and doubling yarn","['Process', 'of', 'spinning,', 'drawing,', 'and', 'doubling', 'yarn']","[('Process', 'NN'), ('of', 'IN'), ('spinning,', 'NN'), ('drawing,', 'NN'), ('and', 'CC'), ('doubling', 'VBG'), ('yarn', 'NN')]","['PROPN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'VERB', 'NOUN', 'SPACE']",[],1,0,10,0,0,"{'spinning,', 'drawing,'}",1
US1602431A,1926-10-12,Insert for concrete walls astd the like,"['Insert', 'for', 'concrete', 'walls', 'astd', 'the', 'like']","[('Insert', 'NNP'), ('for', 'IN'), ('concrete', 'JJ'), ('walls', 'NNS'), ('astd', 'VBP'), ('the', 'DT'), ('like', 'JJ')]","['PROPN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'DET', 'INTJ']",[],1,0,7,0,0,{'astd'},1
US1602489A,1926-10-12,Ferdinand hochstetter and gustaf schmeidel,"['Ferdinand', 'hochstetter', 'and', 'gustaf', 'schmeidel']","[('Ferdinand', 'NNP'), ('hochstetter', 'NN'), ('and', 'CC'), ('gustaf', 'NN'), ('schmeidel', 'NN')]","['PROPN', 'NOUN', 'CCONJ', 'VERB', 'NOUN']",[],1,0,5,0,0,"{'gustaf', 'hochstetter', 'schmeidel'}",1
US1602490A,1925-01-06,Draftsman's scale,"[""Draftsman's"", 'scale']","[(""Draftsman's"", 'NNP'), ('scale', 'NN')]","['PROPN', 'PART', 'NOUN', 'SPACE']",[],1,0,4,0,0,"{""draftsman's""}",1
US1602525A,1921-01-13,Method of manufacturing metallic filamentary material,"['Method', 'of', 'manufacturing', 'metallic', 'filamentary', 'material']","[('Method', 'NNP'), ('of', 'IN'), ('manufacturing', 'VBG'), ('metallic', 'JJ'), ('filamentary', 'JJ'), ('material', 'NN')]","['PROPN', 'ADP', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'SPACE']",[],1,0,7,0,0,{'filamentary'},1
US1602547A,1925-11-19,Propeller for sleighs,"['Propeller', 'for', 'sleighs']","[('Propeller', 'NNP'), ('for', 'IN'), ('sleighs', 'NNS')]","['PROPN', 'ADP', 'PROPN', 'SPACE']",[],1,0,4,0,0,{'sleighs'},1
US1602553A,1924-11-11,Process of producing pulp high in resistant crllulose,"['Process', 'of', 'producing', 'pulp', 'high', 'in', 'resistant', 'crllulose']","[('Process', 'NN'), ('of', 'IN'), ('producing', 'VBG'), ('pulp', 'NN'), ('high', 'JJ'), ('in', 'IN'), ('resistant', 'JJ'), ('crllulose', 'NN')]","['PROPN', 'ADP', 'VERB', 'NOUN', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'SPACE']",[],1,0,9,0,0,{'crllulose'},1
US1602597A,1922-10-27,Means for abrading carton blanks,"['Means', 'for', 'abrading', 'carton', 'blanks']","[('Means', 'NNS'), ('for', 'IN'), ('abrading', 'VBG'), ('carton', 'NN'), ('blanks', 'NNS')]","['PROPN', 'ADP', 'VERB', 'PROPN', 'VERB', 'SPACE']",[],1,0,6,0,0,{'abrading'},1
US1602661A,1926-01-18,"Valve box, manhole, and the like","['Valve', 'box,', 'manhole,', 'and', 'the', 'like']","[('Valve', 'NNP'), ('box,', 'NN'), ('manhole,', 'NN'), ('and', 'CC'), ('the', 'DT'), ('like', 'JJ')]","['PROPN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'INTJ', 'SPACE']",[],1,0,9,0,0,"{'box,', 'manhole,'}",1
