patent_number,title
US92A,Machine for nicking or cutting notci-ies in heads of wood-screws 
US93A,"Machine for dusting rags 
     "
US94A,Reacting sotaxy  steak-engine 
US95A,Manufacture of 
US96A,Temple eor weaving- cloth 
US97A,Art of mantjfactttring bricks and tile 
US98A,robinson and f 
US99A,Coup asses 
US101A,Method of jcakibtg and furling iw sails fob ships 
US102A,Whole 
US103A,Process 
US104A,Revolving hokse-rake 
US105A,knight 
US106A,Specipication 
US107A,Withdrawn 
US108A,Braving 
US109A,Erawijtg 
US110A,Construction 
US111A,Fastemtetgrs foe 
US112A,Saddle for removing- the sick and for other purposes 
US113A,Improvement in the mode of making or preparing door-plates 
US114A,Benjamin h 
US115A,Machine fob boring and mortising 
US116A,William croasdale 
US117A,Cylinder wasi-iingxiviachine 
US118A,Improvement in the machine for weighing heavy bodies 
US119A,Improvement in the machine for weighing heavy bodies 
US120A,Mode of constructing steelyard-balances 
US121A,Improvement in the mode of constructing andweighing by means of the steelyard-balance 
US122A,Improvement in the machine for weighing heavy bodies 
US123A,fairbanks 
US124A,Improvement in the machine for weighing heavy bodies 
US125A,Improvement in compositions for making boots and shoes water-proof 
US126A,Improvement in machines for cutting the screws of screw-bedsteads 
US127A,Mode oe coitstbuctikg bebtch abtd othek vises 
US128A,Holdback for sleds 
US129A,Improvement in the balance for weighing 
US130A,Improvement in metallic solutions for the preservation of timber 
US131A,Machine foe cutting eur fedm skins 
US132A,Improvement in propelling machinery by magnetism and electro-magnetism 
US133A,benjamin bull 
US134A,John barker 
US135A,Jesse j 
US136A,Mode of molding candles 
US137A,Register and air-box for grates and fireplaces 
US138A,Barnabas s 
US139A,Robert wilson 
US140A,photo-litho 
US141A,Pump for preventing the water from freezing within the barrel 
US142A,Cooking apparatus 
US143A,Improvement in trusses for the cure of hernia 
US144A,Improvement in scythe-snaths 
US145A,Improvement in the mode of dressing the stones of portable and other mills 
US146A,Road-stop fob preventing cattle 
US147A,Improvement in the construction and mode of loading fire-arms 
US148A,Improvement in machines for nicking and turning the heads of wood-screws 
US149A,Machine eoe cutting and heading wire foe the manufacture oe wood 
US150A,Island 
US151A,Spring-saddle 
US152A,Improvement in the process of burning lime by the introduction of a blast of air 
US153A,Peters 
US154A,Improvement in machines for cutting the threads of wood-screws 
US155A,Machine fob 
US156A,Improvement in machines for packing and pressing flour 
US157A,Spring por spring-seat saddles 
US158A,Henry silliman 
US159A,John swainson 
US160A,Process of mabrtji actubind white lead 
US161A,Construction of smoke-stacks of locomotive or stationary steam-engines 
US162A,Island 
US163A,Revolving- hand-rake for hay and gbain 
US164A,Machine fob cramping leather for 
US165A,Mode of propelling boats ost castals or rivers 
US166A,Standing press 
US167A,Tjbi emmons 
US168A,Improvement in fire-arms 
US169A,Powee-loom 
US170A,Improvement in concentrating-furnaces for smelting iron ores by the use of anthracite 
US171A,Machine for washing iron and other ores 
US172A,Improvement in the mode of 
US173A,Improvement in the manufacture of hat-bodies 
US174A,Simeon bboadmeadow 
US175A,Simeon broadmeadow 
US176A,Samuel rust 
US177A,Rotary steam-engine 
US178A,Imprgvement in cradles for cutting hemp 
US179A,Xg-eoivietrical t trtansxfxerabl-e ivi ivieasurer for iveeasur-ing and draftxing 
US180A,Improvement in cotton-gins 
US181A,Bodkin fob inserting corset or other grooved rings into cloth or canvas 
US182A,Improvement in many-chambered-cylinder fire-arms 
US183A,Improvement in many-chambered-cylinder fire-arms 
US184A,Improvement in spokeshaves 
US185A,Double-centered joint for rules 
US186A,Spring-saddle 
US187A,Loom for weaving- various kinds op fabrics 
US188A,Improvement in many-chambered-cylinder fire-arms 
US189A,Turkabout bob railroads 
US190A,Improvement in fire-proof safes or chests for the preservation of books 
US191A,Machine for facing and dressing stone 
US192A,Machine for cutting 
US193A,stillman 
US194A,Sawmill-gate clasps 
US195A,Machine fob cutting and dressing stone 
US196A,Machine for mowing and heaping grain 
US197A,Uotted sta  
US198A,Mode of constructing boats for canals 
US199A,"Improvement in paddle-wheels for propelling boats, vessels "
US200A,Geoege 
US201A,Improvement in the construction of water-wheels 
US202A,Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh  
US203A,Improvement in fire-arms and ordnance 
US204A,Construction of and mode of 
US205A,Stove-radiator 
US206A,Machine fob 
US207A,Apparatus used in pointing cannon 
US208A,Improvement in the art of manufacturing cast-iron cannon 
US209A,Improvement in the manufacture of saddle-trees 
US210A,Machine for hulling- and scouring rice 
US211A,Stoves for cooking and heating buildings 
US212A,Improvement in spiral-bucket water-wheels 
US213A,"Improvement in machines for winnowing, cleaning, and separating grain "
US214A,Improvement in the mode of manufacturing splints for friction-matches 
US215A,James mcoloey 
US216A,Improvement in many-cham b ered-cylin der flre-arms 
US217A,Apparatus for drawing liquors by compressed air 
US218A,Constructioer of railroad-cars 
US219A,Mode of dipping or charging locofoco matches 
US220A,Machine foe making and drying bricks 
US221A,Steam-boii 
US222A,Truss for the retention and radical cure qe hernia 
US223A,Machine foe 
US224A,Improvement in cotton-presses 
US225A,Machine fob 
US226A,Samuel goss 
US227A,Improvement in machines for sawing shingles 
US228A,Improvement 
US229A,"Improvement in the machine for breaking and softening hides, skins "
US230A,Thomas blanchard 
US231A,Stove for heating irons for the use of tailors 
US232A,"Improvement in the method of protecting timber from destruction by worms, dry-rot "
US233A,Improvement in plows 
US234A,Improvement in machines for breaking hemp and flax 
US235A,Improvement in machines for breaking and dressing hemp and flax 
US236A,Anthracite-goal stove 
US237A,Egbert beale 
US238A,Capstan 
US239A,Machine for scraping hides 
US240A,Charles goodyear 
US241A,Construction op mop-heads and the mode of securing them upon handles 
US242A,moseley 
US243A,Mill foe 
US244A,Edward flint 
US245A,"Improvement in managing saccharine, vinous, and acetous fermentation "
US246A,Samuel rust 
US247A,office 
US248A,Lamps and lamp-torches 
US249A,Opettf itkeplace ob 
US250A,Improvement in cast-iron press-cases for tobacco 
US251A,Improvement in rotary presses for pressing woolen and cotton goods 
US252A,Construgting the framewo rk oiex a a portable 
US253A,Improvement in machines for thinning cotton-plants 
US254A,Improvement in the pistol knife or cutlass 
US255A,William slickr 
US256A,System osi cutting gabments 
US257A,Improvement in presses for pressing rolled tobacco 
US258A,"Improvement in the machine for spreading lime, ashes, marl, plaster "
US259A,Improvement in plows 
US260A,Improvement in plows 
US261A,Machine for hackling hemp and other lint 
US262A,Combined 
US263A,Improvement in fire and burglar proof safes 
US264A,Apparatus ob machinery employed in the manufacture of carbonate of 
US265A,Machinery for molding candles 
US266A,Serving and worming mallet 
US267A,Mcode of hanging ob suspending a band-wheel in those hobse-powebs in 
US268A,Articlesx 
US269A,Asa whitney 
US270A,Improvement in the mode of burning fuel by means of a suspension-grate 
US271A,George wilbur 
US272A,Floating bey-dock 
US273A,Improvement in plows 
US274A,Improvement in the mode of constructing locks for fire-arms 
US275A,Machine fob reducing thread-waste to the state of cotton wool 
US276A,Horse-power 
US277A,Levi rice and danl 
US278A,Improvement in making soap 
US279A,Construction op carriages 
US280A,Coitstiittction of vai 
US281A,Improvement in machines for pointing and cutting wooden pegs for pegging boots and shoes 
US282A,Improvement in rotary stoves by adding an oven thereto 
US283A,System of tailoring 
US284A,White paint 
US285A,Improved white water-color paint 
US286A,Mode of 
US287A,And john ericsson 
US288A,Construction of grates and fireplaces 
US289A,Cooking-stove 
US290A,Stove foe 
US291A,Improvement in self-adjusting temples for weaving-looms 
US292A,Anthracite 
US293A,Mode of 
US294A,Improvement in modes of constructing and connecting together the cars or carriages 
US295A,Improvement in the construction of self-sharpening plows 
US296A,Machine fob 
US297A,Improvement in fire-arms 
US298A,Process for purifying salt-water preparatory to manufacturing salt 
US299A,Gideon brown 
US300A,Machine foe spinning woolen roving 
US301A,Machine for 
US302A,Machine fob 
US303A,Cooking-stove 
US304A,David w 
US305A,Framing of locomotive steam-engines 
US306A,Coal cookincr-stove 
US307A,Rqss winans 
US308A,winans 
US309A,photo-litboampher 
US310A,Cooking-stove 
US311A,Locomotive stieiv-llvx-ei 
US312A,Revolving and sifting grate 
US313A,Isaac d 
US314A,Improvement in the manner of constructing and working paddles to be used as ice-breakers 
US315A,Improvement in the mode 
US316A,Rotary steam-engine 
US317A,Machine for dressing or smoothing- sawed shingles 
US318A,Machine foe 
US319A,Improvement in machines for breaking and dressing hemp and flax 
US320A,John dainty 
US321A,Machine fob 
US322A,The tikes of wheels and otheb articles 
US323A,Thomas  
US324A,Jonathan cutlek 
US325A,Drawer 
US326A,Mode of constrtjctiire paddle-wheels fob 
US327A,Improvement in plows 
US328A,Improved mode of attaching knives or 
US329A,Improvement in the construction of water-wh eels 
US330A,Machine foe cleaning and dressing 
US331A,Locomotive power-machine for removing houses 
US332A,Improvement in the mode of smelting iron ores by the employment of a composition of 
US333A,Stove for heating and cooking 
US334A,Improvement in preparing oleaginous seeds for pressing by heating them with steam 
US335A,Stove for heating apartments 
US336A,Improved process for removing wool and hair from skins 
US337A,Mode of constructing railroad-frogs 
US338A,Machine for crimping leather for boots 
US339A,Mode of constructing the wheels of locomotives for asceniding inclined 
US340A,Cooking-stove 
US341A,Machine fob 
US342A,asher miller 
US343A,Mode of 
US344A,Composition of matter to be used as a substitute for gum-senegal in calico-printing 
US345A,Machine eob hiving 
US346A,Improved mode of protecting the metallic sheathing of vessels 
US347A,dixon 
US348A,Commo 
US349A,Samuel utter 
US350A,Machine 
US351A,James wilson 
US352A,Mode of preventing thread from going to waste in machinery for 
US353A,Daniel fitzgerald 
US354A,ohilds 
US355A,Press for pressing 
US356A,Machine for cutting shingles and siding from steamed 
US357A,Constbuctiost of rain-water cistern s 
US358A,Ximproved m mode of 
US359A,Strainer 
US360A,Mode of cohstkuctiitg paddle-wheels foe 
US361A,Jonathan keedy 
US362A,Tongs 
US363A,Improvement in windmills 
US364A,Improvement in self loading and priming fire-arms 
US365A,Improvement in ship-building 
US366A,Quadrant hinge foe 
US367A,hotchkiss 
US368A,John williamson 
US369A,"Improvement in presses for pressing hay, cotton, hemp, and other similar substances "
US370A,Cookingr-stove 
US371A,waeneb 
US372A,"Improvement in the machine for spreading and sowing lime, plaster, small grain "
US373A,Ships 
US374A,Abraham 
US375A,Machine foe 
US376A,Machine fob molding and pressing- bricks 
US377A,Turnek whitehouse 
US378A,Ho t-aijr strcjve 
US379A,Window-sash spuing for upper sashes 
US380A,hopkins 
US381A,Samuel nicolsonj of bo 
US382A,Machine for 
US383A,Henby a 
US384A,Stove foe 
US385A,Plating-machine 
US386A,Improvement in machines for breaking and cleaning flax and hemp 
US387A,Machine foe cutting veneebs 
US388A,Pantaloon-measurer 
US389A,Mode of supporting the bodies of railroad-cars and carriages 
US390A,Machine foe 
US391A,John knowles and robt 
US392A,Mode of making a batting os 
US393A,Improvement in the composition of matter for fire-bricks 
US394A,Mode of regulating the temperature of inkiwg-rollers and ink used 
US395A,Improvement in theendless-chain horse-power for driving machinery 
US396A,Machinery of mills for the manufacture of grain into flour or meal 
US397A,Machinerf os mills foe 
US398A,Endless-chain horse-power 
US399A,Slide-valve for steam-engines 
US400A,Mode of causing puppet valves to work lights 
US401A,John bouis 
US402A,Galley and cooking-stove foe 
US403A,Improvement in hydraulic current-wheels 
US404A,Improvement in horizontal water-wh eels 
US405A,Improvement in manufacturing sugar 
US406A,Samuel rust 
US407A,Mode of supplying air to wood  and coal stoves 
US408A,Machine for 
US409A,Improvement in many-chambered fire-arms 
US410A,Method of setting axletrees and in the machinery used therefor 
US411A,mills 
US412A,Water-wheel aktd mode of letting the water ow the same 
US413A,Mortise-latch for fastening doors 
US414A,Moetise-latch foe 
US415A,Allen ward 
US416A,Machine for cutting 
US417A,Endless-ghain horse-power for driving iviaci-iii 
US418A,Horse-power for communicating motion to machinery 
US419A,Machine fob boring and mortising wheel-hubs and other articles 
US420A,Mode of constructing clamps used by shoemakers 
US421A,Railway-oven for baking bread and other articles 
US422A,Galley ob cooking-stove for ships of wab 
US423A,Improvement in hemp and flax dressing-machines 
US424A,Improvement in presses for pressing tobacco and other 
US425A,James bogardus 
US426A,Elisha f 
US427A,Machine for cleaning wool of burs and other foreig-n substances 
US428A,Improveivient in the process of separating and removing the bitterings from the kettles 
US429A,Cookiktg-stove 
US430A,Peter henry dreybr 
US431A,Daniel stephens 
US432A,Improvement in gun-carriages 
US433A,Spring foe 
US434A,Method of attaching glass kbtobs to metallic sockets 
US435A,Mode of measuring 
US436A,Brick mold used in brick-pressing machines 
US437A,Dudley l 
US438A,Improvement in the composition of matter to be used as paint for houses 
US439A,Machiste fob maiciotg beices 
US440A,Clasp and lock fob mail-bags 
US441A,Henry stephens 
US442A,Circtjlak 
US443A,Piitess 
US444A,Improvement in book-binding 
US445A,Worm-destroying medicine 
US446A,Tonic and aperient alterative pill 
US447A,Steam vessel fob cooking 
US448A,Mode of constructing hubs eor the wheels of carriages 
US449A,Improvement in the mode of preparing paint for the protection of buildings against fire 
US450A,Construction of bridges 
US451A,Island 
US452A,Machine for 
US453A,Mode of constructing the gages oe machines eob 
US454A,Method obi constructing stoves 
US455A,Cooking and wabming stove 
US456A,Henry iwlaterman 
US457A,Caleb slade 
US458A,Machine for cutting and dressing granite and other stone 
US459A,Machine foe 
US460A,Machine foe sep abating- gaelic from geain 
US461A,Improvement in the method of constructing locks for fire-arms 
US462A,John macintosh 
US463A,Mode of constructing refrigerators 
US464A,of peteeboko 
US465A,Thomas peck 
US466A,Jordan l 
US467A,james n 
US468A,Thomas french 
US469A,Improvement in brick-presses 
US470A,Improved cooking-stove 
US471A,Mode of 
US472A,Improvement in horse-rakes 
US473A,Mode of constructing double-centered joints 
US474A,Improvement in reaction water-wheels 
US475A,Island 
US476A,Bancroft woodcock 
US477A,Coitstbttctiost 
US478A,Jambs m 
US479A,Improvement in windmills 
US480A,Machine for threshing and winnowing grain 
US481A,Improvement in the pistol-saber 
US482A,Improvement in spring-saddles 
US483A,Improvement in spring-saddles 
US484A,Mill fob gbinding babk 
US485A,John stevens 
US486A,Improvement in machines for ginning cotton 
US487A,Horse-power for driving machinery 
US488A,Apparatus fob bobing the hubs of wheels 
US489A,"Improvement in the mode of constructing springs for carriages, wagons "
US490A,Improvement in the mode of weaving hair seating 
US491A,Figure 
US492A,Machine foe 
US493A,Cooking-stove 
US494A,Steering wheel for ships 
US495A,Machine for sizing paper 
US496A,Mode of com-stbuctiire sawmills fob sawing timber 
US497A,Improvement in the machine for preparing ice for shipping and storing 
US498A,Improvement in mode of constructing saw-cylinders for cotton-gins 
US499A,Machine fob steaming and mashing 
US500A,Improved excavating-machine 
US501A,Improvement in plows 
US502A,Through trees 
US503A,Improvement in the manufacture of india-rubber boots and shoes 
US504A,Action of pianofortes and mode of giving stability to such instruments 
US505A,Mode of 
US506A,Doou-sps 
US507A,John crabtree 
US508A,Jordan l 
US509A,Waterproof mail-carriage 
US510A,soeel 
US511A,Improved mode of coloring and finishing leather 
US512A,Water-wheel 
US513A,gleason 
US514A,Cccktstrtrctxchsr of boot-trees 
US515A,Machine for threshing clover-seed 
US516A,Improved machine for manufacturing wood-screws 
US517A,Improvement in manufacturing artificial stone 
US518A,Improvement in horizontal water-wheels 
US519A,Crrcumfekjsnter 
US520A,Improvement in the construction of trunks and valises 
US521A,Spark-catcher eor arresting awd extinguishing sparks 
US522A,John thomas 
US523A,Mode of construction of suction and force pumps 
US524A,Improvement en machinery for spinning tobacco 
US525A,Machine for hulling clovee 
US526A,Machine foe 
US527A,Machine for 
US528A,Improvement in cooking-stoves 
US529A,Secret safety-lock 
US530A,Threshing-machine 
US531A,Machine fob 
US532A,Machine for reducing and cutting dye woods and bark 
US533A,Truss for hermta 
US534A,Improved steam-generator 
US535A,Safety railroad-gar 
US536A,Beady binder for binding newspapers 
US537A,Fastening- for window blinds and shutters 
US538A,Self-separating link for connecting railroad-cars and locomotives 
US539A,Standard measurer for taking measure for coats 
US540A,Construction of locomotive-engines 
US541A,Daniel desmond 
US542A,Machine for ti-ibeshing and cleaning g-rain 
US543A,Carington wilson 
US544A,Construction of heddles and harness eor weavers 
US545A,Method of making fastenings for saddle-bags 
US546A,Loom for weaving knotted counterpanes and other fabrics in which the 
US547A,photo-lithograph er 
US548A,Machine fob molding bricks 
US549A,Iffiode of strengthening the axles of railroad-cars and locomotives 
US550A,Improvement in machines for breaking flax and hemp 
US551A,Mode of attaching springs to carriages 
US552A,Improved sawing-mill 
US553A,Machine eoe 
US554A,Mode of constructing and operating churns 
US555A,Machine fok planing plank boards and clapboards 
US556A,Machine foe 
US557A,James macgregor 
US558A,Improvement in locomotives and railroad-cars which are 
US559A,Apparatus for leaching- ashes 
US560A,Improved canal-boat 
US561A,photo-litnog 
US562A,Scale beam and weight 
US563A,Machine foe washing and pulverizing potatoes in the manufacture oe 
US564A,Samuel rust 
US565A,Mode of 
US566A,Cobtsteuctioit of cooking-stoves 
US567A,Machine for r-uibbii 
US568A,Sphebometeb for 
US569A,Caruiag-e-spiiln g 
US570A,Jehu brainerd 
US571A,Method of hanging doors to prevent bain from being forced under them 
US572A,Machine for 
US573A,Improvement in the machine for sowing or planting ruta-baga and other seeds or grain 
US574A,Art op measuring and cutting garments 
US575A,Benjamin iapham 
US576A,Ftjbnace of stoves fob bubning anthracite 
US577A,Uvtachine for threshing grain and shelling corn 
US578A,William h 
US579A,Cookiug-stove 
US580A,searle 
US581A,oberhausser 
US582A,Machine-fob 
US583A,Hviprovement in horizontal windmills 
US584A,Machine for heading sbikes and nails 
US585A,Apparatus for extinguishing sparks in the chimneys oe steam-boilers 
US586A,Island 
US587A,Machine eor cutting ok 
US588A,Steam 
US589A,Joseph smart 
US590A,Saw foe 
US591A,Improved mill for breaking and crumbling lumps of sugar 
US592A,zollickoffee 
US593A,Arrangement of gearing fob driving machinery 
US594A,Method of constructing the screw-arms foe 
US595A,X e elijah fairman 
US596A,Improvement in machines for making and twisting strands in the process of making rope 
US597A,Remedy for salt-rheum 
US598A,"Improvement in machines for spreading lime, marl "
US599A,Mode of preserving hay 
US600A,Straw-cutter 
US601A,Machine for making bricks 
US602A,Inclined elevating box-wheel fob excavating eakth 
US603A,Improvement in the construction of many-chambered fire-arms 
US604A,Improvement in plows 
US605A,Method of mx 
US606A,Method of fastening bedsteads 
US607A,Boom-derrick for hoisting and laying stone and other materials 
US608A,Improvement in water-wheels 
US609A,Improvement in regulators for steam-boilers 
US610A,Improvement in fire-arms 
US611A,dunham 
US612A,Machine foe 
US613A,pierce 
US614A,Discovery in the manufacture of brown paper from a new material called 
US615A,Machine for washing bags in the manufacture of paper 
US616A,Artificial horizon foe 
US617A,Mode of operating the treadles in power-looms 
US618A,Spabk-abeestittg flue fob locomotives 
US619A,Improvement in the apparatus for making salt 
US620A,Cypeien poulla 
US621A,Trap eor catching rats and other animals 
US622A,Linen s 
US623A,Machine eob cutting and dressing stone 
US624A,Apparatus foe 
US625A,Double-cylinder suction and force pump 
US626A,Christopher atjmgck 
US627A,Gimlet 
US628A,Improvement in the mode of constructing locomotive-engines 
US629A,Improvement in locks for guns 
US630A,Safety-valve for regulating the pressure of steam in steam-boilers 
US631A,Machine for smoothing the sides of type 
US632A,David beuce 
US633A,Cookin grxs 
US634A,Improvement in the mode of making cast-iron wheels for cars to be used on railroads 
US635A,Machine foe 
US636A,Revolving spring-punch 
US637A,Mode of making cast-iron wheels foe 
US638A,Improvement in self-sharpening plows 
US639A,of boston 
US640A,Samuel truscott 
US641A,morison 
US642A,Machine foe crimping 
US643A,John allen 
US644A,Improvement in the furnace and pots for melting metals 
US645A,Back for poeges and fetrnages 
US646A,Improvement in furnaces for smelting iron with anthracite 
US647A,Improved fishing-seine for deep water 
US648A,Writing 
US649A,Walter hunt 
US650A,Machine for threshing grain 
US651A,Box and axle foe 
US652A,Jambs sawyer 
US653A,Improvement in the mode of constructing a double hillside-plow and converting the 
US654A,Improvement in shot-charges for measuring shot in charging guns 
US655A,Combined parlor and kitchen fireplace 
US656A,Machine foe 
US657A,Mode of 
US658A,Machine fob pricking leatpier preparatory to stitching 
US659A,Porcelain or earthenware stone 
US660A,Machine to set saw-teeth 
US661A,Mode of making metallic combs 
US662A,hydrostatic press 
US663A,Machine for conveying stkaw prom threshing-machines 
US664A,Richard savary 
US665A,Straw-cutter 
US666A,Sfbing-bock for coagh and railroad-gab 
US667A,Rotary steam-engine 
US668A,Improvement in wardrobe-bedsteads 
US669A,In the manufacture of gunpowder 
US670A,"Improved mode of forming raised surfaces for printing on paper, calico "
US671A,Improved machine for breaking hemp and flax 
US672A,Plaiting-machine for covering whips 
US673A,Improvement in the mode of building ships and other vessels 
US674A,Draft-box eob steam-engines 
US675A,Benjamin j 
US676A,Construction of canal-boats fob 
US677A,Improvement in repeating or many-chambered fire-arms 
US678A,bennet woodcroft 
US679A,Safety life-preserver 
US680A,Improvement in scythe-snaths 
US681A,Crosscut eclipse sheabing-machine for shearing-woolen cloths 
US682A,Improvement in carriage-springs 
US683A,Coach-lamp 
US684A,Machine for mortising timber 
US685A,Machine for mortising timber 
US686A,Machine foe faking- and goring 
US687A,Canal-lock gate 
US688A,james  
US689A,Julius austin 
US690A,jacob noixnkn 
US691A,Fire-engine pump 
US692A,Improvement in machines for mowing and cutting grass and grain 
US693A,Machine for making bricks 
US694A,Machine fob molding and pressing bricks 
US695A,Improved water-wheel 
US696A,Steam-engine 
US697A,Mode of 
US698A,Improvement in many-cham bered-cylinder fire-arms 
US699A,stone 
US700A,Photo-litho 
US701A,Seth gkaham 
US702A,Improved process of dyeing wool 
US703A,Improvement in the art of dyeing 
US704A,Improvement in the drill-machine for sowing or planting seed 
US705A,Workingf bellows bt steam 
US706A,"Improvement in cars, carriages, trucks "
US707A,Improvement in many-chambered-cylinder fire-arms 
US708A,Horizontal straw-cutter 
US709A,Gate fob flumes of watekr-wheels 
US710A,Ikomestic spinner for 
US711A,harpek 
US712A,Mode of 
US713A,Improvement in many-chambered-cylinder fire-arms 
US714A,Jambs secoe 
US715A,Improvement in water-wheels 
US716A,Henry barnes 
US717A,Jambs seooe 
US718A,Machine fob making brooms 
US719A,Churn 
US720A,Improved mode of forming a kiln for making charcoal 
US721A,Hinge fo-r 
US722A,Force and suction pump 
US723A,Mode of 
US724A,Petess 
US725A,Cabbiage-spbing 
US726A,Improvement in the method of packing and stowing ice 
US727A,Machine for manufacturing shot 
US728A,Machine for hulling clover-seed 
US729A,Thbeshing-machnsre for clover 
US730A,Geared drill-stock 
US731A,Improvement in cotton-compressors 
US732A,Eaton 
US733A,Machxbte fob hulling clover-seed 
US734A,Lock for doors 
US735A,Rtjftjg porter 
US736A,Thomas addison 
US737A,Mode of making table knives and forks 
US738A,Improvement in mills for grinding grain 
US739A,Linus yale 
US740A,Loom fob weaving satinet cassimebe 
US741A,"Improved process for gilding copper,, brass "
US742A,Perigrine williamson 
US743A,Improvement in plows 
US744A,Mode of cutting off steam in steam-engines 
US745A,Truss for hernia 
US746A,"Improvement in the process of coloring hats, furs "
US747A,Improvement in fire-arms 
US748A,Lit ho sraphefi 
US749A,Machinery for raising and carrying ships 
US750A,Improvement in constructing refrigerators 
US751A,Mode of fastening hoe-handles 
US752A,Machine for mortising timber 
US753A,Rocking churn 
US754A,"Improvement in machines for mowing grass, grain "
US755A,Sawmill-dog 
US756A,Winjji 
US757A,Improved furnace for smelting of lead 
US758A,Mode op 
US759A,Reacting watek-wheels 
US760A,Facing iron with steel for sleigh-runners and tires for wheels 
US761A,Improved circulating sugar-boiler 
US762A,Improved safety steam-boiler 
US763A,Improvement in the net for catching mackerel and other fish at sea or in deep water 
US764A,Antoine aenotjx 
US765A,Mode of making and stretching the sacking op bedsteads 
US766A,Machine for cutting straw 
US767A,cumberland 
US768A,Machine fob shaving shingles 
US769A,Washing-machine fob washing clothes 
US770A,Mode of raising and forcing water by the aid of a triple sliding valve 
US771A,Portable sawmill 
US772A,peters 
US773A,Hay-rake 
US774A,Mode of manufacturing flying shears for the purpose of shearing 
US775A,Improved variety-couch 
US776A,Frederick g 
US777A,Improvement in the manner of forming the ribs of saw-gins for ginning cotton 
US778A,Thomas wright 
US779A,Machine for platting boards 
US780A,Mode of fastening bedsteads 
US781A,Spindles and fliers for spinning cotton and other fibrous substances 
US782A,George wode 
US783A,Door-lock 
US784A,Thomas whitson 
US785A,Smith cram 
US786A,Writing-desk 
US787A,James mcclory 
US788A,And mode oe 
US789A,Machine for sawing and jointing staves 
US790A,Improved mode of constructing the wrest-pin for forte pianos 
US791A,Improvement in plow-clevises 
US792A,Mode of 
US793A,Spark-catcher 
US794A,Improvement in machines for thrashing clover-seed 
US795A,Mode of constructing and managing vats fob tanning leather 
US796A,office 
US797A,Machine foe cutting screws on the enbs of bedstead-bails 
US798A,Improved fire and water proof traveling-trunk 
US799A,Islandx 
US800A,Improved mode of preserving timber and other vegetable substances from decay 
US801A,Machine por piling handsaws 
US802A,The horse-power for driving machinery 
US803A,Smith s forge 
US804A,Improvement in the hearth of the blast-furnace 
US805A,Improvement in furnaces for refini 
